category,volume,issue,date,link
SCIENTIFIC AMERICAN SPACE & PHYSICS,3,6,December 2020,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=76762B3C-130C-443A-A6E2BC6D5C7F573D
SCIENTIFIC AMERICAN HEALTH & MEDICINE,2,6,December 2020,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=53A18374-9235-42A5-8964A07265F0B9E2
SCIENTIFIC AMERICAN,323,6,December 2020,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=46D1FA6D-316C-4B6F-AA107CCB409C82C4
SCIENTIFIC AMERICAN,323,5,November 2020,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=1D0B47C5-080D-4D08-8B2972C1D4807B77
SCIENTIFIC AMERICAN MIND,31,6,November 2020,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=836B841C-A0E3-4101-A49D398253AC9C34
SCIENTIFIC AMERICAN,29,4s,October 2020,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=2EDEA9CC-50D9-462E-925D827AE9F150EF
SCIENTIFIC AMERICAN SPACE & PHYSICS,3,5,October 2020,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=AC35F521-ED60-47C4-8A4224BD73875DBC
SCIENTIFIC AMERICAN,323,4,October 2020,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=9B2F19F8-9C19-4330-ACE1455F86F38DF1
SCIENTIFIC AMERICAN HEALTH & MEDICINE,2,5,October 2020,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=12C659ED-2D5B-44F4-8D47330D820E0EDF
SCIENTIFIC AMERICAN MIND,31,5,September 2020,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=587C303E-6717-41B7-A761F294E457227A
SCIENTIFIC AMERICAN,323,3,September 2020,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=D5147050-8830-4BCA-81A37A08DE141A44
SCIENTIFIC AMERICAN,29,3s,August 2020,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=F4ED39CA-5037-4BFC-B94C07208E256167
SCIENTIFIC AMERICAN SPACE & PHYSICS,3,4,August 2020,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=7D0D2437-A1DC-4997-851A8515B9C64935
SCIENTIFIC AMERICAN,323,2,August 2020,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=ABBAC3F3-26DA-446D-939655C62BF21BDA
